Timestamp;HouseId;Energy;;Volume;;HourCounter;;TempForward;;TempReturn;;Power;;Flow;;;;;;ForwardedUsage;;ReturnedUsage;;;;;;ColumnX;;
03-03-2020 23.32;33;13022;MWh;523578;M3;16488;h;59,2;c;28;c;1,9;kW;54;l/h;0;;0;;33119;MWh;20097;MWh;0;;0;;119;d;IZAR Plus Portal
03-03-2020 23.33;34;14144;MWh;370,12;M3;17040;h;62,7;c;24,8;c;1,2;kW;29;l/h;0;;0;;25,9;MWh;11755;MWh;0;;0;;95;d;IZAR Plus Portal
03-03-2020 23.34;35;13736;MWh;409614;M3;16464;h;61;c;27;c;1,4;kW;35;l/h;0;;0;;27485;MWh;13749;MWh;0;;0;;119;d;IZAR Plus Portal
03-03-2020 23.35;36;14728;MWh;499666;M3;16608;h;59,6;c;31,6;c;1,8;kW;56;l/h;0;;0;;32,69;MWh;17961;MWh;0;;0;;114;d;IZAR Plus Portal
03-03-2020 23.36;37;13906;MWh;421789;M3;14712;h;63,3;c;38;c;2,5;kW;88;l/h;0;;0;;29627;MWh;15,72;MWh;0;;0;;193;d;IZAR Plus Portal
03-03-2020 23.37;38;14977;MWh;623548;M3;16176;h;56,9;c;25,4;c;0,5;kW;15;l/h;0;;0;;43076;MWh;28099;MWh;0;;0;;132;d;IZAR Plus Portal
03-03-2020 23.38;39;16137;MWh;467144;M3;17184;h;61,2;c;26,8;c;1,4;kW;37;l/h;0;;0;;31212;MWh;15074;MWh;0;;0;;90;d;IZAR Plus Portal
03-03-2020 23.39;40;17147;MWh;736603;M3;15144;h;63,6;c;50,7;c;2;kW;139;l/h;0;;0;;52457;MWh;35,31;MWh;0;;0;;175;d;IZAR Plus Portal
03-03-2020 23.40;41;11902;MWh;300102;M3;17160;h;62,7;c;22,5;c;1,5;kW;33;l/h;0;;0;;20832;MWh;8929;MWh;0;;0;;91;d;IZAR Plus Portal
03-03-2020 23.41;42;12031;MWh;358683;M3;17232;h;62,7;c;26,4;c;1,6;kW;38;l/h;0;;0;;24,54;MWh;12508;MWh;0;;0;;87;d;IZAR Plus Portal
03-03-2020 23.42;43;14,25;MWh;494924;M3;17208;h;58,4;c;33,1;c;0,6;kW;22;l/h;0;;0;;32656;MWh;18405;MWh;0;;0;;89;d;IZAR Plus Portal
03-03-2020 23.43;44;9111;MWh;289174;M3;14976;h;59,4;c;25,3;c;0,7;kW;18;l/h;0;;0;;19199;MWh;10087;MWh;0;;0;;182;d;IZAR Plus Portal
03-03-2020 23.44;45;19538;MWh;578047;M3;17544;h;61,6;c;31,2;c;1,6;kW;45;l/h;0;;0;;40354;MWh;20815;MWh;0;;0;;75;d;IZAR Plus Portal
03-03-2020 23.45;46;10461;MWh;298776;M3;16320;h;63,1;c;26;c;1,6;kW;38;l/h;0;;0;;21253;MWh;10792;MWh;0;;0;;126;d;IZAR Plus Portal
03-03-2020 23.46;47;13943;MWh;410584;M3;15288;h;62,8;c;31;c;2,5;kW;69;l/h;0;;0;;28475;MWh;14532;MWh;0;;0;;169;d;IZAR Plus Portal
03-03-2020 23.47;48;15805;MWh;662146;M3;16656;h;60;c;36;c;2,1;kW;78;l/h;0;;0;;42284;MWh;26479;MWh;0;;0;;112;d;IZAR Plus Portal
03-03-2020 23.48;49;15377;MWh;522914;M3;16032;h;63,9;c;53,8;c;1,8;kW;153;l/h;0;;0;;37826;MWh;22449;MWh;0;;0;;138;d;IZAR Plus Portal
