Timestamp;;Energy;;Volume;;HourCounter;;TempForward;;TempReturn;;Power;;Flow;;;;;;ForwardedUsage;;ReturnedUsage;;;;;;ColumnX;;
27-02-2020 23.54;;16763;MWh;609268;M3;16200;h;62,5;c;48,7;c;0,4;kW;28;l/h;0;;0;;42458;MWh;25694;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.58;;11966;MWh;425251;M3;16752;h;58,1;c;23,1;c;1,1;kW;27;l/h;0;;0;;26948;MWh;14982;MWh;0;;0;;108;d;IZAR Plus Portal
27-02-2020 23.58;;11,24;MWh;395432;M3;14784;h;60,6;c;27,8;c;1,6;kW;43;l/h;0;;0;;26259;MWh;15018;MWh;0;;0;;190;d;IZAR Plus Portal
27-02-2020 23.40;;10781;MWh;340149;M3;16344;h;64,1;c;31,7;c;2;kW;55;l/h;0;;0;;24534;MWh;13752;MWh;0;;0;;125;d;IZAR Plus Portal
27-02-2020 23.59;;18,95;MWh;851858;M3;16608;h;58,2;c;31;c;2,4;kW;76;l/h;0;;0;;54222;MWh;35271;MWh;0;;0;;114;d;IZAR Plus Portal
27-02-2020 23.28;;14001;MWh;423282;M3;16080;h;61,5;c;26,7;c;1;kW;26;l/h;0;;0;;29305;MWh;15304;MWh;0;;0;;136;d;IZAR Plus Portal
27-02-2020 23.58;;10799;MWh;373,44;M3;16704;h;60,6;c;23,3;c;1,3;kW;31;l/h;0;;0;;24497;MWh;13698;MWh;0;;0;;109;d;IZAR Plus Portal
27-02-2020 23.55;;13022;MWh;523578;M3;16488;h;59,2;c;28;c;1,9;kW;54;l/h;0;;0;;33119;MWh;20097;MWh;0;;0;;119;d;IZAR Plus Portal
27-02-2020 23.56;;14144;MWh;370,12;M3;17040;h;62,7;c;24,8;c;1,2;kW;29;l/h;0;;0;;25,9;MWh;11755;MWh;0;;0;;95;d;IZAR Plus Portal
27-02-2020 23.57;;13736;MWh;409614;M3;16464;h;61;c;27;c;1,4;kW;35;l/h;0;;0;;27485;MWh;13749;MWh;0;;0;;119;d;IZAR Plus Portal
27-02-2020 23.59;;14728;MWh;499666;M3;16608;h;59,6;c;31,6;c;1,8;kW;56;l/h;0;;0;;32,69;MWh;17961;MWh;0;;0;;114;d;IZAR Plus Portal
27-02-2020 23.59;;13906;MWh;421789;M3;14712;h;63,3;c;38;c;2,5;kW;88;l/h;0;;0;;29627;MWh;15,72;MWh;0;;0;;193;d;IZAR Plus Portal
27-02-2020 23.58;;14977;MWh;623548;M3;16176;h;56,9;c;25,4;c;0,5;kW;15;l/h;0;;0;;43076;MWh;28099;MWh;0;;0;;132;d;IZAR Plus Portal
27-02-2020 23.53;;16137;MWh;467144;M3;17184;h;61,2;c;26,8;c;1,4;kW;37;l/h;0;;0;;31212;MWh;15074;MWh;0;;0;;90;d;IZAR Plus Portal
27-02-2020 23.59;;17147;MWh;736603;M3;15144;h;63,6;c;50,7;c;2;kW;139;l/h;0;;0;;52457;MWh;35,31;MWh;0;;0;;175;d;IZAR Plus Portal
27-02-2020 23.57;;11902;MWh;300102;M3;17160;h;62,7;c;22,5;c;1,5;kW;33;l/h;0;;0;;20832;MWh;8929;MWh;0;;0;;91;d;IZAR Plus Portal
27-02-2020 23.55;;12031;MWh;358683;M3;17232;h;62,7;c;26,4;c;1,6;kW;38;l/h;0;;0;;24,54;MWh;12508;MWh;0;;0;;87;d;IZAR Plus Portal
27-02-2020 23.57;;14,25;MWh;494924;M3;17208;h;58,4;c;33,1;c;0,6;kW;22;l/h;0;;0;;32656;MWh;18405;MWh;0;;0;;89;d;IZAR Plus Portal
27-02-2020 23.58;;9111;MWh;289174;M3;14976;h;59,4;c;25,3;c;0,7;kW;18;l/h;0;;0;;19199;MWh;10087;MWh;0;;0;;182;d;IZAR Plus Portal
27-02-2020 23.59;;19538;MWh;578047;M3;17544;h;61,6;c;31,2;c;1,6;kW;45;l/h;0;;0;;40354;MWh;20815;MWh;0;;0;;75;d;IZAR Plus Portal
27-02-2020 23.56;;10461;MWh;298776;M3;16320;h;63,1;c;26;c;1,6;kW;38;l/h;0;;0;;21253;MWh;10792;MWh;0;;0;;126;d;IZAR Plus Portal
27-02-2020 23.58;;13943;MWh;410584;M3;15288;h;62,8;c;31;c;2,5;kW;69;l/h;0;;0;;28475;MWh;14532;MWh;0;;0;;169;d;IZAR Plus Portal
27-02-2020 23.58;;15805;MWh;662146;M3;16656;h;60;c;36;c;2,1;kW;78;l/h;0;;0;;42284;MWh;26479;MWh;0;;0;;112;d;IZAR Plus Portal
27-02-2020 23.58;;15377;MWh;522914;M3;16032;h;63,9;c;53,8;c;1,8;kW;153;l/h;0;;0;;37826;MWh;22449;MWh;0;;0;;138;d;IZAR Plus Portal
27-02-2020 23.59;;12941;MWh;382127;M3;14592;h;62,3;c;25,8;c;1,8;kW;42;l/h;0;;0;;27314;MWh;14373;MWh;0;;0;;198;d;IZAR Plus Portal
27-02-2020 23.23;;11,66;MWh;506457;M3;14952;h;60,2;c;25,1;c;1;kW;25;l/h;0;;0;;35,17;MWh;23,51;MWh;0;;0;;183;d;IZAR Plus Portal
27-02-2020 23.58;;14092;MWh;440657;M3;16464;h;60,4;c;29,4;c;1,3;kW;38;l/h;0;;0;;28973;MWh;14881;MWh;0;;0;;120;d;IZAR Plus Portal
27-02-2020 23.58;;17301;MWh;459264;M3;16488;h;62;c;24,3;c;1,9;kW;45;l/h;0;;0;;31355;MWh;14053;MWh;0;;0;;119;d;IZAR Plus Portal
27-02-2020 23.27;;13007;MWh;515535;M3;16224;h;64,9;c;48,1;c;3;kW;156;l/h;0;;0;;36969;MWh;23961;MWh;0;;0;;130;d;IZAR Plus Portal
27-02-2020 23.01;;13513;MWh;407637;M3;14784;h;60;c;24,8;c;1;kW;26;l/h;0;;0;;27279;MWh;13766;MWh;0;;0;;190;d;IZAR Plus Portal
27-02-2020 23.58;;14229;MWh;584048;M3;15720;h;64;c;51,9;c;2,1;kW;153;l/h;0;;0;;40867;MWh;26638;MWh;0;;0;;151;d;IZAR Plus Portal
27-02-2020 23.59;;13352;MWh;369555;M3;14808;h;62,4;c;26,3;c;2,1;kW;51;l/h;0;;0;;25582;MWh;12,23;MWh;0;;0;;189;d;IZAR Plus Portal
27-02-2020 23.57;;18324;MWh;673237;M3;16200;h;62,6;c;28,9;c;1,8;kW;46;l/h;0;;0;;47744;MWh;29,42;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.58;;16819;MWh;798123;M3;14976;h;64,5;c;51,3;c;2;kW;129;l/h;0;;0;;58749;MWh;41,93;MWh;0;;0;;182;d;IZAR Plus Portal
27-02-2020 23.56;;12999;MWh;393923;M3;14760;h;61,2;c;23,9;c;1,5;kW;36;l/h;0;;0;;26616;MWh;13616;MWh;0;;0;;191;d;IZAR Plus Portal
27-02-2020 23.58;;12994;MWh;347593;M3;14784;h;62,6;c;25,4;c;1,4;kW;32;l/h;0;;0;;24314;MWh;11319;MWh;0;;0;;190;d;IZAR Plus Portal
27-02-2020 23.25;;11123;MWh;554147;M3;16200;h;59,5;c;23,7;c;1,3;kW;31;l/h;0;;0;;37566;MWh;26443;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.59;;10946;MWh;317902;M3;16728;h;61,7;c;30,3;c;1,5;kW;42;l/h;0;;0;;21437;MWh;10491;MWh;0;;0;;109;d;IZAR Plus Portal
27-02-2020 23.59;;16135;MWh;425026;M3;14784;h;63,3;c;26,1;c;1,9;kW;44;l/h;0;;0;;29957;MWh;13822;MWh;0;;0;;190;d;IZAR Plus Portal
27-02-2020 23.59;;11032;MWh;332728;M3;16896;h;57,1;c;28,7;c;0,4;kW;12;l/h;0;;0;;22223;MWh;11,19;MWh;0;;0;;102;d;IZAR Plus Portal
27-02-2020 23.25;;13185;MWh;424861;M3;16176;h;63,8;c;23,5;c;1,8;kW;39;l/h;0;;0;;30328;MWh;17143;MWh;0;;0;;132;d;IZAR Plus Portal
27-02-2020 23.27;;11224;MWh;330419;M3;14784;h;62,2;c;28,1;c;1,6;kW;42;l/h;0;;0;;22698;MWh;11474;MWh;0;;0;;189;d;IZAR Plus Portal
27-02-2020 23.57;;21425;MWh;808394;M3;16200;h;63,8;c;29,4;c;6,6;kW;168;l/h;0;;0;;58883;MWh;37457;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.19;;12625;MWh;420453;M3;16176;h;62,2;c;25,5;c;1,8;kW;43;l/h;0;;0;;29754;MWh;17128;MWh;0;;0;;132;d;IZAR Plus Portal
27-02-2020 23.59;;11284;MWh;446585;M3;16368;h;61,5;c;31,2;c;0,6;kW;16;l/h;0;;0;;31888;MWh;20603;MWh;0;;0;;124;d;IZAR Plus Portal
27-02-2020 23.49;;14568;MWh;623604;M3;14976;h;61,2;c;26;c;0,8;kW;19;l/h;0;;0;;44233;MWh;29666;MWh;0;;0;;181;d;IZAR Plus Portal
27-02-2020 23.55;;12673;MWh;380329;M3;16704;h;58,6;c;26,8;c;0,8;kW;22;l/h;0;;0;;25186;MWh;12512;MWh;0;;0;;110;d;IZAR Plus Portal
27-02-2020 23.37;;17435;MWh;737901;M3;15744;h;62,9;c;38,4;c;2,4;kW;85;l/h;0;;0;;49,8;MWh;32364;MWh;0;;0;;150;d;IZAR Plus Portal
27-02-2020 23.55;;12,28;MWh;440207;M3;14760;h;61;c;23,8;c;2,4;kW;57;l/h;0;;0;;28936;MWh;16656;MWh;0;;0;;191;d;IZAR Plus Portal
27-02-2020 23.59;;14162;MWh;602261;M3;16368;h;63,7;c;54,1;c;1,6;kW;147;l/h;0;;0;;42206;MWh;28044;MWh;0;;0;;124;d;IZAR Plus Portal
27-02-2020 23.55;;13587;MWh;411923;M3;15696;h;62,3;c;25,5;c;1,8;kW;44;l/h;0;;0;;28384;MWh;14798;MWh;0;;0;;152;d;IZAR Plus Portal
27-02-2020 23.58;;9988;MWh;418,37;M3;15744;h;64,4;c;52,1;c;1,9;kW;134;l/h;0;;0;;28668;MWh;18,68;MWh;0;;0;;150;d;IZAR Plus Portal
27-02-2020 23.59;;20603;MWh;652385;M3;16896;h;63,6;c;38,9;c;2,7;kW;94;l/h;0;;0;;46059;MWh;25456;MWh;0;;0;;102;d;IZAR Plus Portal
27-02-2020 23.59;;13967;MWh;425,84;M3;17184;h;62,1;c;28,6;c;2,3;kW;61;l/h;0;;0;;28,47;MWh;14503;MWh;0;;0;;90;d;IZAR Plus Portal
27-02-2020 23.59;;15714;MWh;429729;M3;17208;h;62,3;c;24,3;c;1,3;kW;31;l/h;0;;0;;30073;MWh;14358;MWh;0;;0;;89;d;IZAR Plus Portal
27-02-2020 23.30;;13842;MWh;646,03;M3;16200;h;59,8;c;31,8;c;1,7;kW;53;l/h;0;;0;;43911;MWh;30069;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.59;;14401;MWh;609594;M3;14952;h;63,2;c;51,4;c;1,7;kW;126;l/h;0;;0;;42,99;MWh;28588;MWh;0;;0;;183;d;IZAR Plus Portal
27-02-2020 23.56;;16976;MWh;606,26;M3;15096;h;62;c;37,2;c;2;kW;69;l/h;0;;0;;42,18;MWh;25203;MWh;0;;0;;176;d;IZAR Plus Portal
27-02-2020 23.58;;14547;MWh;472,9;M3;12480;h;62;c;28,9;c;1,9;kW;49;l/h;0;;0;;33118;MWh;18,57;MWh;0;;0;;286;d;IZAR Plus Portal
27-02-2020 23.58;;15891;MWh;561378;M3;15288;h;62,5;c;25,9;c;1,6;kW;38;l/h;0;;0;;39704;MWh;23813;MWh;0;;0;;169;d;IZAR Plus Portal
27-02-2020 23.55;;16092;MWh;505171;M3;16008;h;64,6;c;35,3;c;1,4;kW;42;l/h;0;;0;;36514;MWh;20422;MWh;0;;0;;139;d;IZAR Plus Portal
27-02-2020 23.56;;8293;MWh;258623;M3;16344;h;61,7;c;44,4;c;1,4;kW;70;l/h;0;;0;;16731;MWh;8438;MWh;0;;0;;125;d;IZAR Plus Portal
27-02-2020 23.59;;10404;MWh;339743;M3;15096;h;62,2;c;25,4;c;1,5;kW;35;l/h;0;;0;;24182;MWh;13777;MWh;0;;0;;177;d;IZAR Plus Portal
27-02-2020 23.56;;15872;MWh;494523;M3;12672;h;62,9;c;34,5;c;1,2;kW;37;l/h;0;;0;;36059;MWh;20187;MWh;0;;0;;278;d;IZAR Plus Portal
27-02-2020 23.55;;17048;MWh;531625;M3;15096;h;64,1;c;51,1;c;2,4;kW;162;l/h;0;;0;;38012;MWh;20964;MWh;0;;0;;177;d;IZAR Plus Portal
27-02-2020 23.59;;23,21;MWh;958648;M3;16320;h;63,4;c;40,4;c;7;kW;268;l/h;0;;0;;66,52;MWh;43,31;MWh;0;;0;;126;d;IZAR Plus Portal
27-02-2020 23.59;;18046;MWh;616319;M3;15720;h;63;c;27,8;c;1,1;kW;28;l/h;0;;0;;44437;MWh;26391;MWh;0;;0;;151;d;IZAR Plus Portal
27-02-2020 23.49;;14692;MWh;562,46;M3;16320;h;61,2;c;24,7;c;1,2;kW;29;l/h;0;;0;;38258;MWh;23566;MWh;0;;0;;126;d;IZAR Plus Portal
27-02-2020 23.28;;12674;MWh;399764;M3;15504;h;61,9;c;24,9;c;1,6;kW;37;l/h;0;;0;;28387;MWh;15712;MWh;0;;0;;160;d;IZAR Plus Portal
27-02-2020 23.32;;14538;MWh;585781;M3;16224;h;63,2;c;28,7;c;1,2;kW;31;l/h;0;;0;;41,63;MWh;27092;MWh;0;;0;;130;d;IZAR Plus Portal
27-02-2020 23.56;;13725;MWh;370003;M3;14760;h;62,6;c;25,5;c;1,9;kW;45;l/h;0;;0;;25475;MWh;11,75;MWh;0;;0;;191;d;IZAR Plus Portal
27-02-2020 23.59;;15978;MWh;520978;M3;13320;h;61,2;c;24,8;c;1,1;kW;27;l/h;0;;0;;36007;MWh;20029;MWh;0;;0;;175;d;IZAR Plus Portal
27-02-2020 23.59;;11,79;MWh;363473;M3;12336;h;39,4;c;23,1;c;0,1;kW;3;l/h;0;;0;;24,79;MWh;12999;MWh;0;;0;;216;d;IZAR Plus Portal
27-02-2020 23.28;;18434;MWh;688149;M3;14136;h;65;c;39,8;c;3,9;kW;137;l/h;0;;0;;49733;MWh;31298;MWh;0;;0;;141;d;IZAR Plus Portal
27-02-2020 23.58;;12263;MWh;372604;M3;14040;h;63,6;c;46,9;c;2,3;kW;121;l/h;0;;0;;26089;MWh;13826;MWh;0;;0;;145;d;IZAR Plus Portal
27-02-2020 23.55;;11395;MWh;338374;M3;12432;h;63,5;c;34;c;1,6;kW;47;l/h;0;;0;;24611;MWh;13216;MWh;0;;0;;212;d;IZAR Plus Portal
27-02-2020 23.31;;13152;MWh;725502;M3;11736;h;63,7;c;50,5;c;0,9;kW;57;l/h;0;;0;;52482;MWh;39,33;MWh;0;;0;;241;d;IZAR Plus Portal
27-02-2020 23.50;;2124;MWh;75589;M3;3552;h;55,8;c;28,2;c;0,2;kW;7;l/h;0;;0;;4996;MWh;2872;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.51;;10519;MWh;315717;M3;12168;h;63,4;c;35,4;c;1,9;kW;59;l/h;0;;0;;22065;MWh;11545;MWh;0;;0;;223;d;IZAR Plus Portal
27-02-2020 23.59;;12804;MWh;383281;M3;14328;h;61,6;c;26,3;c;1,3;kW;33;l/h;0;;0;;26193;MWh;13389;MWh;0;;0;;133;d;IZAR Plus Portal
27-02-2020 23.59;;10823;MWh;373154;M3;14136;h;30,3;c;20,8;c;0;kW;0;l/h;0;;0;;27049;MWh;16225;MWh;0;;0;;141;d;IZAR Plus Portal
27-02-2020 23.57;;12902;MWh;372;M3;13104;h;61,5;c;26,5;c;2,2;kW;56;l/h;0;;0;;25704;MWh;12801;MWh;0;;0;;184;d;IZAR Plus Portal
27-02-2020 23.57;;12141;MWh;379716;M3;11760;h;53,6;c;25,4;c;0,8;kW;24;l/h;0;;0;;25,4;MWh;13259;MWh;0;;0;;240;d;IZAR Plus Portal
27-02-2020 23.16;;4776;MWh;194601;M3;3192;h;64,9;c;49;c;2,1;kW;119;l/h;0;;0;;14,09;MWh;9313;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.50;;13463;MWh;489988;M3;14112;h;56,5;c;25,3;c;1,6;kW;44;l/h;0;;0;;31202;MWh;17738;MWh;0;;0;;142;d;IZAR Plus Portal
27-02-2020 23.59;;11,13;MWh;480407;M3;10008;h;64;c;50,8;c;2,7;kW;182;l/h;0;;0;;33746;MWh;22616;MWh;0;;0;;313;d;IZAR Plus Portal
27-02-2020 23.59;;3391;MWh;130,63;M3;3744;h;63,3;c;62,5;c;0;kW;49;l/h;0;;0;;9331;MWh;5939;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.58;;13951;MWh;604484;M3;11640;h;64,6;c;53,1;c;1,9;kW;148;l/h;0;;0;;44601;MWh;30651;MWh;0;;0;;245;d;IZAR Plus Portal
27-02-2020 23.52;;11107;MWh;457072;M3;10800;h;59,6;c;28,6;c;0,9;kW;26;l/h;0;;0;;31849;MWh;20741;MWh;0;;0;;280;d;IZAR Plus Portal
27-02-2020 23.41;;15344;MWh;698433;M3;14136;h;63,9;c;50,7;c;2,8;kW;184;l/h;0;;0;;50147;MWh;34803;MWh;0;;0;;141;d;IZAR Plus Portal
27-02-2020 23.57;;15874;MWh;435518;M3;12600;h;61,1;c;27,2;c;1,9;kW;50;l/h;0;;0;;29636;MWh;13762;MWh;0;;0;;205;d;IZAR Plus Portal
27-02-2020 23.56;;14382;MWh;481382;M3;12288;h;58,3;c;27,9;c;2;kW;58;l/h;0;;0;;30931;MWh;16549;MWh;0;;0;;218;d;IZAR Plus Portal
27-02-2020 23.37;;1022;MWh;50565;M3;3192;h;51,2;c;34,4;c;0,2;kW;11;l/h;0;;0;;3049;MWh;2027;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.59;;13,88;MWh;590239;M3;11592;h;63,2;c;34,7;c;2,1;kW;63;l/h;0;;0;;43308;MWh;29,43;MWh;0;;0;;247;d;IZAR Plus Portal
27-02-2020 23.57;;16162;MWh;454741;M3;11928;h;63,2;c;32,3;c;2,5;kW;72;l/h;0;;0;;30927;MWh;14764;MWh;0;;0;;233;d;IZAR Plus Portal
27-02-2020 23.29;;12919;MWh;369458;M3;12336;h;64,1;c;39,1;c;2,2;kW;77;l/h;0;;0;;26,22;MWh;13,3;MWh;0;;0;;216;d;IZAR Plus Portal
27-02-2020 23.32;;14348;MWh;423469;M3;12144;h;62,9;c;34,7;c;5,3;kW;189;l/h;0;;0;;29182;MWh;14833;MWh;0;;0;;224;d;IZAR Plus Portal
27-02-2020 23.29;;15048;MWh;362566;M3;14136;h;63,4;c;25,1;c;1,3;kW;29;l/h;0;;0;;26,1;MWh;11051;MWh;0;;0;;141;d;IZAR Plus Portal
27-02-2020 23.29;;9178;MWh;383613;M3;10800;h;61,4;c;51,1;c;0;kW;0;l/h;0;;0;;27677;MWh;18498;MWh;0;;0;;280;d;IZAR Plus Portal
27-02-2020 23.56;;2198;MWh;100109;M3;3048;h;56,5;c;41,3;c;0,9;kW;54;l/h;0;;0;;6428;MWh;4229;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.52;;13456;MWh;433039;M3;11640;h;63;c;22,8;c;1,5;kW;33;l/h;0;;0;;31543;MWh;18087;MWh;0;;0;;245;d;IZAR Plus Portal
27-02-2020 23.34;;10725;MWh;363902;M3;13128;h;64,6;c;50,2;c;1,9;kW;115;l/h;0;;0;;26,14;MWh;15414;MWh;0;;0;;183;d;IZAR Plus Portal
27-02-2020 23.55;;10452;MWh;326162;M3;12408;h;63,3;c;23,9;c;1,6;kW;35;l/h;0;;0;;24,04;MWh;13588;MWh;0;;0;;213;d;IZAR Plus Portal
27-02-2020 23.54;;11409;MWh;348483;M3;14112;h;60,1;c;26,5;c;0,2;kW;5;l/h;0;;0;;23739;MWh;12329;MWh;0;;0;;142;d;IZAR Plus Portal
27-02-2020 23.56;;9483;MWh;368167;M3;9816;h;63,7;c;48,3;c;2,2;kW;127;l/h;0;;0;;25974;MWh;16491;MWh;0;;0;;321;d;IZAR Plus Portal
27-02-2020 23.29;;11254;MWh;332576;M3;9936;h;61,8;c;39,1;c;1,9;kW;75;l/h;0;;0;;22169;MWh;10915;MWh;0;;0;;316;d;IZAR Plus Portal
27-02-2020 23.37;;5418;MWh;147681;M3;3096;h;63,6;c;25,5;c;1,8;kW;42;l/h;0;;0;;10756;MWh;5337;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.57;;8,31;MWh;260071;M3;10008;h;61,8;c;24,5;c;2,1;kW;49;l/h;0;;0;;17,82;MWh;9,51;MWh;0;;0;;313;d;IZAR Plus Portal
27-02-2020 23.59;;3055;MWh;76833;M3;3192;h;66,2;c;48,1;c;0,9;kW;45;l/h;0;;0;;5472;MWh;2416;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.34;;9498;MWh;309204;M3;9840;h;62,9;c;25,4;c;2,2;kW;52;l/h;0;;0;;22026;MWh;12527;MWh;0;;0;;320;d;IZAR Plus Portal
27-02-2020 23.56;;4414;MWh;115963;M3;3024;h;61;c;31,7;c;0,9;kW;27;l/h;0;;0;;8229;MWh;3815;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.31;;11176;MWh;363046;M3;13944;h;63,5;c;31,4;c;1,5;kW;42;l/h;0;;0;;25801;MWh;14625;MWh;0;;0;;149;d;IZAR Plus Portal
27-02-2020 23.36;;10324;MWh;282122;M3;12432;h;61,6;c;24,6;c;1,4;kW;33;l/h;0;;0;;19,39;MWh;9065;MWh;0;;0;;212;d;IZAR Plus Portal
27-02-2020 16.50;;18713;MWh;486011;M3;14064;h;62,1;c;29,4;c;1,9;kW;51;l/h;0;;0;;34212;MWh;15498;MWh;0;;0;;143;d;IZAR Plus Portal
27-02-2020 23.32;;10,21;MWh;508041;M3;8232;h;64,4;c;50,6;c;3,8;kW;245;l/h;0;;0;;35154;MWh;24943;MWh;0;;0;;387;d;IZAR Plus Portal
27-02-2020 23.55;;12466;MWh;387855;M3;12288;h;61,3;c;29,3;c;1,8;kW;50;l/h;0;;0;;26259;MWh;13793;MWh;0;;0;;218;d;IZAR Plus Portal
27-02-2020 23.57;;11,9;MWh;334,84;M3;11760;h;62,1;c;25,9;c;1,5;kW;37;l/h;0;;0;;23,3;MWh;11399;MWh;0;;0;;240;d;IZAR Plus Portal
27-02-2020 22.46;;3887;MWh;131999;M3;3360;h;57,6;c;36,5;c;0,2;kW;9;l/h;0;;0;;9259;MWh;5371;MWh;0;;0;;417;d;IZAR Plus Portal
27-02-2020 23.21;;1574;MWh;42118;M3;3024;h;57,7;c;32,2;c;0,1;kW;2;l/h;0;;0;;2948;MWh;1374;MWh;0;;0;;417;d;IZAR Plus Portal
